序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
60,gov,日对外贸易经济合作部令1995年第5号,中华人民共和国国际货物运输代理业管理规定,分支机构 ,[body]…以上业务的， 注册资本最低限额为其中最高一项的限额。 国际货物运输代理企业每设立一个从事国际货物运输代理业务的分支机构， 应当增加注册资本 50 万元。 第三章 审批程序第九条 申请设立国际货物运输代理企业， 申请人应当向拟设立…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
61,gov,中华人民共和国国务院令第111号,国有企业富余职工安置规定, ,[body]…位休养期间，由企业发给生活费。已经实行退休费用统筹的地方，企业和退出工作岗位休养的职工应当按照有关规定缴纳基本养老保险费。职工退出工作岗位休养期间达到国家规定的退休年龄时，按照规定办理退休手续。职工退出工作岗位休养期间视为工龄，…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
62,gov,中华人民共和国国务院令第66号,劳动就业服务企业管理规定, ,[body]…筹资金开办的劳动就业服务企业，在企业具备偿还能力时，可以逐步偿还个人出资。第二十二条 劳动就业服务企业应当建立养老保险制度并逐步建立待业保险制度。保险基金提取办法和保险项目按国家有关规定执行。第二十三条 劳动就业服务企业应当执行…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
63,gov,中华人民共和国国务院令第65号,中华人民共和国邮政法实施细则,分支机构 ,[body]…以下简称邮政企业)，经邮电管理局授权，管理该地区的邮政工作。邮电支局、邮电所、邮政支局、邮政所是办理邮政业务的分支机构(以下简称分支机构)；邮亭、邮政报刊亭等是邮政企业的服务点。邮电代办所视同邮政企业所属的分支机构。第四条 未经…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
64,gov,,北京市新技术产业开发试验区暂行条例,分支机构 ,[body]…有条件的新技术企业，由北京市人民政府授予外贸经营权，自负盈亏，承担出口计划；经国家有关部门批准，可以在国外设立分支机构。新技术企业出口所创外汇，三年内全额留给企业；从第四年起，地方和创汇企业二八分成。第十一条 试验区内，对外经济…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
65,gov,,国务院关于鼓励投资开发海南岛的规定,保险公司 ,[body]…材料和其他物料以及自用的交通工具、办公用品，由海南省人民政府自行审批。第十二条 在海南岛举办的企业(国家银行和保险公司除外)，从事生产、经营所得和其他所得，均按15%的税率征收企业所得税，另按应纳税额附征10%的地方所得税。其中…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
66,mof,财政部令第116号,注册会计师行业严重失信主体名单管理办法,分支机构 ,[body]…忽职守、徇私舞弊或者其他违法违规行为的，依法给予处分；构成犯罪的，依法追究刑事责任。 第二十一条 会计师事务所分支机构应当列入严重失信主体名单的，适用本办法的规定。 第二十二条 本办法由财政部负责解释。 第二十三条 本办法自20…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
67,mof,农业农村部令第107号,道路交通事故社会救助基金管理办法,保险公司 ,[body]…和管理，按照规定确定救助基金管理机构，并对其管理情况进行考核。 第六条 国务院保险监督管理机构的派出机构负责对保险公司缴纳救助基金情况实施监督检查。 县级以上地方公安机关交通管理部门负责通知救助基金管理机构垫付道路交通事故中受害…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
68,mof,财政部令第98号,财政部关于修改《代理记账管理办法》等2部部门规章的决定,分支机构 ,[body]…内通过企业信用信息公示系统向社会公示。 第八条 代理记账机构名称、主管代理记账业务的负责人发生变更，设立或撤销分支机构，跨原审批机关管辖地迁移办公地点的，应当自作出变更决定或变更之日起30日内依法向审批机关办理变更登记，并应当自…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
69,mof,财政部令第97号,财政部关于修改《会计师事务所执业许可和监督管理办法》等2部部门规章的决定,保单|分支机构 ,[body]…的执业证书信息”。 二、对《资产评估行业财政监督管理办法》作出修改 （一）将第二十二条第三项中的“职业责任保险保单复印件” 修改为“职业责任保险保单信息”。 （二）将第二十四条修改为“资产评估机构应当自领取营业执照之日起 3…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
70,mof,财政部令第89号,会计师事务所执业许可和监督管理办法,分支机构 ,[body]…约定，对会计师事务所的债务承担相应责任。 第三章 会计师事务所分所执业许可的取得 第二十五条 会计师事务所设立分支机构应当依照本办法规定申请分所执业许可。 第二十六条 会计师事务所分所的名称应当采用“会计师事务所名称 + 分支机…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
71,mof,财政部令第87号,政府采购货物和服务招标投标管理办法,分支机构 ,[body]…条 采购人委托采购代理机构代理招标的，采购代理机构应当在采购人委托的范围内依法开展采购活动。 采购代理机构及其分支机构不得在所代理的采购项目中投标或者代理投标，不得为所代理的采购项目的投标人参加本项目提供投标咨询。 第二章 招标…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
